Metric 1: 0.02027
Metric 2
average correct log-likelihood: -5.201; average wrong log-likelihood: -6.988
Metric 3
and: ('而且', -5.701961621642113)
from: ('來自', -5.142673641443253)
this: ('這個', -5.5395686566829685)
also: ('也', -1.551092080771923)
but: ('但', -2.685394287109375)
one: ('一', -1.6985681056976318)
new: ('新', -4.2559581701643765)
first: ('第一', -5.360391348600388)
they: ('他們', -4.579295480251313)
all: ('所有', -4.454228509217501)
people: ('人', -1.206951379776001)
may: ('五月', -3.676818529764811)
after: ('之後', -2.2678668101628623)
two: ('二', -1.116607815027237)
score: ('得分', -4.915777891874313)
more: ('多', -4.656928814947605)
time: ('時間', -4.492855681106448)
team: ('團隊', -4.667355976998806)
only: ('只有', -4.923065364360809)
some: ('一些', -2.730435848236084)
years: ('歲月', -4.460044980049133)
school: ('上學', -1.7824804186820984)
state: ('國家', -4.470034576952457)
year: ('年', -4.249066576361656)
most: ('最多', -4.362426869571209)
city: ('城市', -4.445400404930115)
then: ('然後', -4.610429033637047)
county: ('郡', -6.158894956111908)
will: ('將', -5.73259162902832)
delete: ('刪去', -5.202045291662216)
august: ('八月', -4.310813248157501)
july: ('七月', -2.566816821694374)
film: ('電影', -4.602245733141899)
south: ('南', -4.585741125047207)
september: ('九月', -2.3749496191740036)
like: ('喜歡', -5.577576494216919)
october: ('十月', -4.217277608811855)
three: ('三', -0.8515105843544006)
june: ('六月', -4.1823910772800446)
use: ('使用', -1.7832805899282296)
war: ('戰爭', -5.720808434486389)
april: ('四月', -4.29831475019455)
born: ('天生', -5.980938673019409)
later: ('以後', -3.120690129697323)
players: ('球員', -5.620224766433239)
list: ('列表', -4.618943154811859)
second: ('第二', -4.6419498264789585)
name: ('名字', -3.7119487239979208)
group: ('群', -6.746157070000966)
just: ('只要', -5.811781108379364)
north: ('北', -4.129540883004665)
before: ('之前', -2.227738986412684)
season: ('季', -5.145091503858566)
through: ('透過', -5.146749436855316)
district: ('地區', -4.1210936941206455)
comments: ('意見', -4.808818005025387)
football: ('美式足球', -4.787751267850399)
league: ('同盟', -4.327764302492142)
album: ('相簿', -6.661561822891235)
number: ('數字', -5.233929891139269)
family: ('家屬', -5.071697723865509)
area: ('地區', -3.9621379896998405)
life: ('人生', -2.670515298843384)
game: ('遊戲', -5.443291075527668)
above: ('以上', -3.7043090065320334)
club: ('俱樂部', -4.616200736590794)
early: ('及早', -5.30183944106102)
west: ('西部', -6.321949279308319)
house: ('房屋', -4.496723306179047)
left: ('左', -4.9918264746665955)
day: ('一天', -2.4465172290802)
place: ('地點', -5.664328491687774)
party: ('宴會', -5.806468069553375)
college: ('大學', -3.582457340011994)
four: ('四', -4.132113598287106)
class: ('階級', -5.891325187683106)
found: ('找到', -5.154795318841934)
style: ('風格', -5.630214023590088)
long: ('久', -3.0008270740509033)
back: ('回', -5.194410443305969)
modify: ('修改', -3.8050025150179865)
end: ('結尾', -5.528135228157043)
public: ('公開', -5.300211079418659)
